int,string,int,int,int,string,string,string,string,*,string,,,,,,
08020,PieceName_Mortar,1,5,07405,Character_Sprite_01_9,Image_Cartoon_Garbi_01,Image_Gabi_01,Character_Sprite_02_1,*,,,,,,,
08021,PieceName_Boomer,1,1,07501,Character_Sprite_01_10,Image_Cartoon_Yueun_01,Image_Yueun_01,Character_Sprite_02_3,*,,,,,,,
08022,PieceName_Boomer,1,2,07502,Character_Sprite_01_10,Image_Cartoon_Yueun_01,Image_Yueun_01,Character_Sprite_02_3,*,,,,,,,
08023,PieceName_Boomer,1,3,07503,Character_Sprite_01_10,Image_Cartoon_Yueun_01,Image_Yueun_01,Character_Sprite_02_3,*,,,,,,,
08024,PieceName_Boomer,1,4,07504,Character_Sprite_01_10,Image_Cartoon_Yueun_01,Image_Yueun_01,Character_Sprite_02_3,*,,,,,,,
08025,PieceName_Boomer,1,5,07505,Character_Sprite_01_10,Image_Cartoon_Yueun_01,Image_Yueun_01,Character_Sprite_02_3,*,,,,,,,
08026,PieceName_Buffer,1,1,07601,Character_Sprite_01_11,Image_Cartoon_Lily_01,Image_Lily_01,Character_Sprite_02_5,*,,,,,,,
08027,PieceName_Buffer,1,2,07602,Character_Sprite_01_11,Image_Cartoon_Lily_01,Image_Lily_01,Character_Sprite_02_5,*,,,,,,,
08028,PieceName_Buffer,1,3,07603,Character_Sprite_01_11,Image_Cartoon_Lily_01,Image_Lily_01,Character_Sprite_02_5,*,,,,,,,
08029,PieceName_Buffer,1,4,07604,Character_Sprite_01_11,Image_Cartoon_Lily_01,Image_Lily_01,Character_Sprite_02_5,*,,,,,,,
08030,PieceName_Buffer,1,5,07605,Character_Sprite_01_11,Image_Cartoon_Lily_01,Image_Lily_01,Character_Sprite_02_5,*,,,,,,,
08031,PieceName_Basic,2,1,07106,Character_Sprite_01_0,Image_Cartoon_Serin_02,Image_Serin_02,Character_Sprite_03_0,*,,,,,,,
08032,PieceName_Basic,2,2,07107,Character_Sprite_01_0,Image_Cartoon_Serin_02,Image_Serin_02,Character_Sprite_03_0,*,,,,,,,
08033,PieceName_Basic,2,3,07108,Character_Sprite_01_0,Image_Cartoon_Serin_02,Image_Serin_02,Character_Sprite_03_0,*,,,,,,,
08034,PieceName_Basic,2,4,07109,Character_Sprite_01_0,Image_Cartoon_Serin_02,Image_Serin_02,Character_Sprite_03_0,*,,,,,,,
08035,PieceName_Basic,2,5,07110,Character_Sprite_01_0,Image_Cartoon_Serin_02,Image_Serin_02,Character_Sprite_03_0,*,,,,,,,
08036,PieceName_Shotgun,2,1,07206,Character_Sprite_01_1,Image_Cartoon_Doi_02,Image_Doi_02,Character_Sprite_03_2,*,,,,,,,
08037,PieceName_Shotgun,2,2,07207,Character_Sprite_01_1,Image_Cartoon_Doi_02,Image_Doi_02,Character_Sprite_03_2,*,,,,,,,
08038,PieceName_Shotgun,2,3,07208,Character_Sprite_01_1,Image_Cartoon_Doi_02,Image_Doi_02,Character_Sprite_03_2,*,,,,,,,
08039,PieceName_Shotgun,2,4,07209,Character_Sprite_01_1,Image_Cartoon_Doi_02,Image_Doi_02,Character_Sprite_03_2,*,,,,,,,
08040,PieceName_Shotgun,2,5,07210,Character_Sprite_01_1,Image_Cartoon_Doi_02,Image_Doi_02,Character_Sprite_03_2,*,,,,,,,
08041,PieceName_SR,2,1,07306,Character_Sprite_01_2,Image_Cartoon_Yujin_02,Image_Yujin_02,Character_Sprite_03_4,*,,,,,,,
08042,PieceName_SR,2,2,07307,Character_Sprite_01_2,Image_Cartoon_Yujin_02,Image_Yujin_02,Character_Sprite_03_4,*,,,,,,,
08043,PieceName_SR,2,3,07308,Character_Sprite_01_2,Image_Cartoon_Yujin_02,Image_Yujin_02,Character_Sprite_03_4,*,,,,,,,
08044,PieceName_SR,2,4,07309,Character_Sprite_01_2,Image_Cartoon_Yujin_02,Image_Yujin_02,Character_Sprite_03_4,*,,,,,,,
08045,PieceName_SR,2,5,07310,Character_Sprite_01_2,Image_Cartoon_Yujin_02,Image_Yujin_02,Character_Sprite_03_4,*,,,,,,,
08046,PieceName_Mortar,2,1,07406,Character_Sprite_01_3,Image_Cartoon_Garbi_02,Image_Gabi_02,Character_Sprite_03_1,*,,,,,,,
08047,PieceName_Mortar,2,2,07407,Character_Sprite_01_3,Image_Cartoon_Garbi_02,Image_Gabi_02,Character_Sprite_03_1,*,,,,,,,
08048,PieceName_Mortar,2,3,07408,Character_Sprite_01_3,Image_Cartoon_Garbi_02,Image_Gabi_02,Character_Sprite_03_1,*,,,,,,,
08049,PieceName_Mortar,2,4,07409,Character_Sprite_01_3,Image_Cartoon_Garbi_02,Image_Gabi_02,Character_Sprite_03_1,*,,,,,,,
08050,PieceName_Mortar,2,5,07410,Character_Sprite_01_3,Image_Cartoon_Garbi_02,Image_Gabi_02,Character_Sprite_03_1,*,,,,,,,
08051,PieceName_Boomer,2,1,07506,Character_Sprite_01_4,Image_Cartoon_Yueun_02,Image_Yueun_02,Character_Sprite_03_3,*,,,,,,,
08052,PieceName_Boomer,2,2,07507,Character_Sprite_01_4,Image_Cartoon_Yueun_02,Image_Yueun_02,Character_Sprite_03_3,*,,,,,,,
08053,PieceName_Boomer,2,3,07508,Character_Sprite_01_4,Image_Cartoon_Yueun_02,Image_Yueun_02,Character_Sprite_03_3,*,,,,,,,
08054,PieceName_Boomer,2,4,07509,Character_Sprite_01_4,Image_Cartoon_Yueun_02,Image_Yueun_02,Character_Sprite_03_3,*,,,,,,,
08055,PieceName_Boomer,2,5,07510,Character_Sprite_01_4,Image_Cartoon_Yueun_02,Image_Yueun_02,Character_Sprite_03_3,*,,,,,,,
08056,PieceName_Buffer,2,1,07606,Character_Sprite_01_5,Image_Cartoon_Lily_02,Image_Lily_02,Character_Sprite_03_5,*,,,,,,,
08057,PieceName_Buffer,2,2,07607,Character_Sprite_01_5,Image_Cartoon_Lily_02,Image_Lily_02,Character_Sprite_03_5,*,,,,,,,
08058,PieceName_Buffer,2,3,07608,Character_Sprite_01_5,Image_Cartoon_Lily_02,Image_Lily_02,Character_Sprite_03_5,*,,,,,,,
08059,PieceName_Buffer,2,4,07609,Character_Sprite_01_5,Image_Cartoon_Lily_02,Image_Lily_02,Character_Sprite_03_5,*,,,,,,,
08060,PieceName_Buffer,2,5,07610,Character_Sprite_01_5,Image_Cartoon_Lily_02,Image_Lily_02,Character_Sprite_03_5,*,,,,,,,
08061,PieceName_Basic,3,1,07111,Character_Sprite_01_12,Image_Cartoon_Serin_03,Image_Serin_03,Character_Sprite_04_0,*,,,,,,,
08062,PieceName_Basic,3,2,07112,Character_Sprite_01_12,Image_Cartoon_Serin_03,Image_Serin_03,Character_Sprite_04_0,*,,,,,,,
08063,PieceName_Basic,3,3,07113,Character_Sprite_01_12,Image_Cartoon_Serin_03,Image_Serin_03,Character_Sprite_04_0,*,,,,,,,
08064,PieceName_Basic,3,4,07114,Character_Sprite_01_12,Image_Cartoon_Serin_03,Image_Serin_03,Character_Sprite_04_0,*,,,,,,,
08065,PieceName_Basic,3,5,07115,Character_Sprite_01_12,Image_Cartoon_Serin_03,Image_Serin_03,Character_Sprite_04_0,*,,,,,,,
08066,PieceName_Shotgun,3,1,07211,Character_Sprite_01_13,Image_Cartoon_Doi_03,Image_Doi_03,Character_Sprite_04_2,*,,,,,,,
08067,PieceName_Shotgun,3,2,07212,Character_Sprite_01_13,Image_Cartoon_Doi_03,Image_Doi_03,Character_Sprite_04_2,*,,,,,,,
08068,PieceName_Shotgun,3,3,07213,Character_Sprite_01_13,Image_Cartoon_Doi_03,Image_Doi_03,Character_Sprite_04_2,*,,,,,,,
08069,PieceName_Shotgun,3,4,07214,Character_Sprite_01_13,Image_Cartoon_Doi_03,Image_Doi_03,Character_Sprite_04_2,*,,,,,,,
08070,PieceName_Shotgun,3,5,07215,Character_Sprite_01_13,Image_Cartoon_Doi_03,Image_Doi_03,Character_Sprite_04_2,*,,,,,,,
08071,PieceName_SR,3,1,07311,Character_Sprite_01_14,Image_Cartoon_Yujin_03,Image_Yujin_03,Character_Sprite_04_4,*,,,,,,,
08072,PieceName_SR,3,2,07312,Character_Sprite_01_14,Image_Cartoon_Yujin_03,Image_Yujin_03,Character_Sprite_04_4,*,,,,,,,
08073,PieceName_SR,3,3,07313,Character_Sprite_01_14,Image_Cartoon_Yujin_03,Image_Yujin_03,Character_Sprite_04_4,*,,,,,,,
08074,PieceName_SR,3,4,07314,Character_Sprite_01_14,Image_Cartoon_Yujin_03,Image_Yujin_03,Character_Sprite_04_4,*,,,,,,,
08075,PieceName_SR,3,5,07315,Character_Sprite_01_14,Image_Cartoon_Yujin_03,Image_Yujin_03,Character_Sprite_04_4,*,,,,,,,
08076,PieceName_Mortar,3,1,07411,Character_Sprite_01_15,Image_Cartoon_Garbi_03,Image_Gabi_03,Character_Sprite_04_1,*,,,,,,,
08077,PieceName_Mortar,3,2,07412,Character_Sprite_01_15,Image_Cartoon_Garbi_03,Image_Gabi_03,Character_Sprite_04_1,*,,,,,,,
08078,PieceName_Mortar,3,3,07413,Character_Sprite_01_15,Image_Cartoon_Garbi_03,Image_Gabi_03,Character_Sprite_04_1,*,,,,,,,
08079,PieceName_Mortar,3,4,07414,Character_Sprite_01_15,Image_Cartoon_Garbi_03,Image_Gabi_03,Character_Sprite_04_1,*,,,,,,,
08080,PieceName_Mortar,3,5,07415,Character_Sprite_01_15,Image_Cartoon_Garbi_03,Image_Gabi_03,Character_Sprite_04_1,*,,,,,,,
08081,PieceName_Boomer,3,1,07511,Character_Sprite_01_16,Image_Cartoon_Yueun_03,Image_Yueun_03,Character_Sprite_04_3,*,,,,,,,
08082,PieceName_Boomer,3,2,07512,Character_Sprite_01_16,Image_Cartoon_Yueun_03,Image_Yueun_03,Character_Sprite_04_3,*,,,,,,,
08083,PieceName_Boomer,3,3,07513,Character_Sprite_01_16,Image_Cartoon_Yueun_03,Image_Yueun_03,Character_Sprite_04_3,*,,,,,,,
08084,PieceName_Boomer,3,4,07514,Character_Sprite_01_16,Image_Cartoon_Yueun_03,Image_Yueun_03,Character_Sprite_04_3,*,,,,,,,
08085,PieceName_Boomer,3,5,07515,Character_Sprite_01_16,Image_Cartoon_Yueun_03,Image_Yueun_03,Character_Sprite_04_3,*,,,,,,,
08086,PieceName_Buffer,3,1,07611,Character_Sprite_01_17,Image_Cartoon_Lily_03,Image_Lily_02,Character_Sprite_04_5,*,,,,,,,
08087,PieceName_Buffer,3,2,07612,Character_Sprite_01_17,Image_Cartoon_Lily_03,Image_Lily_02,Character_Sprite_04_5,*,,,,,,,
08088,PieceName_Buffer,3,3,07613,Character_Sprite_01_17,Image_Cartoon_Lily_03,Image_Lily_02,Character_Sprite_04_5,*,,,,,,,
08089,PieceName_Buffer,3,4,07614,Character_Sprite_01_17,Image_Cartoon_Lily_03,Image_Lily_02,Character_Sprite_04_5,*,,,,,,,
08090,PieceName_Buffer,3,5,07615,Character_Sprite_01_17,Image_Cartoon_Lily_03,Image_Lily_02,Character_Sprite_04_5,*,,,,,,,
